{'local_model_0': 0.3652988238086233, 'local_model_1': 0.2966608552887153, 'local_model_2': 0.5585386652804306, 'local_model_3': 0.37617098219263817, 'local_model_4': 0.4611530299803881, 'local_model_5': 0.4813237898444986, 'local_model_6': 0.44279580469582097, 'local_model_7': 0.510863619513695, 'local_model_8': 0.3259650849491251, 'local_model_9': 0.4280403297111244}
{'local_model_0': 0.48351165259672285, 'local_model_1': 0.532484390570743, 'local_model_2': 0.4931444417675727, 'local_model_3': 0.3440852276375089, 'local_model_4': 0.5543472115846229, 'local_model_5': 0.6926770363015233, 'local_model_6': 0.4912400239964761, 'local_model_7': 0.7165549774235747, 'local_model_8': 0.27436247718405615, 'local_model_9': 0.37136999858502884}
{'local_model_0': 0.42769852131302233, 'local_model_1': 0.28824113128329554, 'local_model_2': 0.591114668659721, 'local_model_3': 0.675718321602687, 'local_model_4': 0.38508911216537534, 'local_model_5': 0.7066085926095546, 'local_model_6': 0.6080429591920401, 'local_model_7': 0.6125584838940561, 'local_model_8': 0.39731490494417265, 'local_model_9': 0.3613611120244724}
{'local_model_0': 0.5608614768765531, 'local_model_1': 0.6559483469009407, 'local_model_2': 0.5743526701837964, 'local_model_3': 0.6431729112677282, 'local_model_4': 0.41700082835034846, 'local_model_5': 0.4657081601386911, 'local_model_6': 0.40859533087654987, 'local_model_7': 0.5647399483823752, 'local_model_8': 0.6441769482430617, 'local_model_9': 0.6141131119916852}
{'local_model_0': 0.40261235970013726, 'local_model_1': 0.4465853449952555, 'local_model_2': 0.6719662249573513, 'local_model_3': 0.5430869572459163, 'local_model_4': 0.7053427516552055, 'local_model_5': 0.4442242325329429, 'local_model_6': 0.7314808968594723, 'local_model_7': 0.6225104962195592, 'local_model_8': 0.522620348387667, 'local_model_9': 0.7342851312590295}
{'local_model_0': 0.8282066575415948, 'local_model_1': 0.6184544395688109, 'local_model_2': 0.8412270222246169, 'local_model_3': 0.8527895517588425, 'local_model_4': 0.6299955909077597, 'local_model_5': 0.6553075282957666, 'local_model_6': 0.7733024321229461, 'local_model_7': 0.8304515049453193, 'local_model_8': 0.7751717056747838, 'local_model_9': 0.8733285657875286}
{'local_model_0': 0.6126517305297456, 'local_model_1': 0.7338457194769012, 'local_model_2': 0.8088191052057828, 'local_model_3': 0.4138004922062217, 'local_model_4': 0.7311596434698714, 'local_model_5': 0.8636013839186857, 'local_model_6': 0.75113239532897, 'local_model_7': 0.7173244662400745, 'local_model_8': 0.8322450253013914, 'local_model_9': 0.7555784305257579}
{'local_model_0': 0.5720814435121688, 'local_model_1': 0.537338008260184, 'local_model_2': 0.5943913141871161, 'local_model_3': 0.35101133790354955, 'local_model_4': 0.5538887885408336, 'local_model_5': 0.3990012348883807, 'local_model_6': 0.7296467668125537, 'local_model_7': 0.5076417036755959, 'local_model_8': 0.6262963060317375, 'local_model_9': 0.5333218000372105}
{'local_model_0': 0.7059807396691907, 'local_model_1': 0.5368744552212329, 'local_model_2': 0.4255238670630578, 'local_model_3': 0.7671342848285825, 'local_model_4': 0.7623418592455786, 'local_model_5': 0.675392962726821, 'local_model_6': 0.759017859889989, 'local_model_7': 0.6623134395120006, 'local_model_8': 0.5385343968327558, 'local_model_9': 0.6473385776220701}
{'local_model_0': 0.6610875340823029, 'local_model_1': 0.3473260874768651, 'local_model_2': 0.5231676615663008, 'local_model_3': 0.6292770652690687, 'local_model_4': 0.4485548600524824, 'local_model_5': 0.5133025355124835, 'local_model_6': 0.6340160660193164, 'local_model_7': 0.5428413357001206, 'local_model_8': 0.4152233383628621, 'local_model_9': 0.6449815938460951}
{'local_model_0': 0.48474246157275974, 'local_model_1': 0.7151292911675845, 'local_model_2': 0.7127844253153233, 'local_model_3': 0.43495300767035067, 'local_model_4': 0.6506941968924872, 'local_model_5': 0.4801293803070585, 'local_model_6': 0.7072088966752739, 'local_model_7': 0.7520704396204231, 'local_model_8': 0.6879610595038198, 'local_model_9': 0.5107353884147231}
{'local_model_0': 0.6035332000642303, 'local_model_1': 0.7517824333623453, 'local_model_2': 0.7911883208579478, 'local_model_3': 0.6168007055989878, 'local_model_4': 0.8016876087687153, 'local_model_5': 0.7511408328032203, 'local_model_6': 0.5040954477013613, 'local_model_7': 0.8925758682637123, 'local_model_8': 0.6492783808438157, 'local_model_9': 0.5142086698429388}
{'local_model_0': 0.6119584930004422, 'local_model_1': 0.7524821908981953, 'local_model_2': 0.7998562868993265, 'local_model_3': 0.7315458581505561, 'local_model_4': 0.6022343831650644, 'local_model_5': 0.5824976171348154, 'local_model_6': 0.42079097720382364, 'local_model_7': 0.6083388995434091, 'local_model_8': 0.7721596511774451, 'local_model_9': 0.4915685751524111}
{'local_model_0': 0.5509268788177244, 'local_model_1': 0.7762390400902156, 'local_model_2': 0.736341635019387, 'local_model_3': 0.5823352857219749, 'local_model_4': 0.7046796800833798, 'local_model_5': 0.8019117922923663, 'local_model_6': 0.6060343855196652, 'local_model_7': 0.8296795375744755, 'local_model_8': 0.5828704727383458, 'local_model_9': 0.6706406291284177}
{'local_model_0': 0.3217368560505945, 'local_model_1': 0.7089029082044153, 'local_model_2': 0.5407120859611751, 'local_model_3': 0.5631862129993352, 'local_model_4': 0.7305571606994095, 'local_model_5': 0.6192565572037756, 'local_model_6': 0.717402612708091, 'local_model_7': 0.7996221866893252, 'local_model_8': 0.6900240553312341, 'local_model_9': 0.7091260648023117}
{'local_model_0': 0.702206874704923, 'local_model_1': 0.6605742627661044, 'local_model_2': 0.6650548324819424, 'local_model_3': 0.6222263715195373, 'local_model_4': 0.7288768162936018, 'local_model_5': 0.5950738341982573, 'local_model_6': 0.8696214225836585, 'local_model_7': 0.5821517972929262, 'local_model_8': 0.729021879503113, 'local_model_9': 0.5827516790742086}
{'local_model_0': 0.6896913564727951, 'local_model_1': 0.7201335331083566, 'local_model_2': 0.6470438179221965, 'local_model_3': 0.6578323666774444, 'local_model_4': 0.6927965482215256, 'local_model_5': 0.7162372814538704, 'local_model_6': 0.7166928817855941, 'local_model_7': 0.8318473607204432, 'local_model_8': 0.5518550912782876, 'local_model_9': 0.7076695847931181}
{'local_model_0': 0.6784339455073667, 'local_model_1': 0.5993658185614414, 'local_model_2': 0.7129005938043782, 'local_model_3': 0.8098441267879417, 'local_model_4': 0.7704339379631777, 'local_model_5': 0.7300892865792572, 'local_model_6': 0.42166818104131454, 'local_model_7': 0.7020691129504948, 'local_model_8': 0.8249930553823824, 'local_model_9': 0.8034558654039216}
{'local_model_0': 0.8064677107668983, 'local_model_1': 0.6127961908186833, 'local_model_2': 0.5864293952075545, 'local_model_3': 0.7735922555826188, 'local_model_4': 0.4898495156585942, 'local_model_5': 0.6814105819341815, 'local_model_6': 0.822432182150388, 'local_model_7': 0.5767012759784793, 'local_model_8': 0.5424078210041358, 'local_model_9': 0.7261148082029658}
{'local_model_0': 0.734736852698658, 'local_model_1': 0.7290213820777611, 'local_model_2': 0.4220896427011685, 'local_model_3': 0.7222518374270424, 'local_model_4': 0.5588660595238989, 'local_model_5': 0.619163259357314, 'local_model_6': 0.5655639078276946, 'local_model_7': 0.5552090282421809, 'local_model_8': 0.6566122508689347, 'local_model_9': 0.6719193054240306}
